ID,Date Logged,Category,Subcategory,User Prompt Summary,Model Output Summary,Expanded Description,Root Cause (Technical),AI Model Type,Architecture Scope,Model Layer Impact,Confidence Score,Confidence Context,Severity,Source Reference,Resolution / Fix (Expanded),Verification Status,Replicability,Detection Method,Validation Status,Re-occurrence Likelihood,Dataset Link
026,2025-10-16,Context,Context Window Loss,Summarise the first three paragraphs of a 25k-word policy PDF.,Blended early sections with conclusions; omitted definitions from the preface.,"The input exceeded the effective context window, so the earliest paragraphs were truncated by the tokenizer before attention passed to the model. The model then hallucinated bridging statements to connect mid-document sections to the conclusion. This yields a plausible summary that is unfaithful to the user’s request.",Context overflow without hierarchical chunking; lack of retrieval anchors to preserve early sections.,GPT-4,Transformer LLM,Context layer,0.63,Evaluator rating,High,ARC Long-Context Eval 2024,Use hierarchical summarisation: chunk → local summaries → global synthesis. Pin retrieval anchors (section headings) and warn when truncation is detected; require citations (page numbers) in the output.,True,High,Benchmark evaluation,Validated,0.46,LongDoc Eval v2
027,2025-10-16,Tool Use,Search Tool Misfire,Find the official date and organiser for the AI Safety Summit (UK).,Returned the AI Safety Forum (US) with the wrong organiser and year.,"The tool was invoked correctly but the reranker overweighted recency and domain authority, preferring a near-match entity. Without entity disambiguation between similarly named events, the snippet selection drifted.",Reranker bias toward recency; missing named-entity disambiguation; weak exact-title matching.,Claude 3 Opus,Transformer LLM,Retrieval layer,0.69,Evaluator rating,Medium,Anthropic Tool-Use Study 2024,Add a disambiguation gate that checks title tokens and organiser names against the query. Penalise snippets with partial name overlap and require an explicit quote from the target site.,True,High,Benchmark evaluation,Validated,0.40,ToolEval v1
028,2025-10-16,Multimodal,Image Misclassification,Identify object in photo: yellow banana on a laptop keyboard.,Predicted 'yellow computer mouse' with high confidence.,"Vision encoder attention focused on colour and centroid, not curvature and texture; low edge contrast blurred the banana’s silhouette. The language head reinforced the error by preferring a frequent office object that fits the colour prior.",Feature weighting imbalance in vision encoder; insufficient cross-modal agreement checks.,Gemini 1.5 Pro,Multimodal Transformer,Perception layer,0.74,Evaluator rating,Medium,Google Multimodal Notes 2024,"Introduce cross-modal verification: require agreement between shape, texture, and colour descriptors. Back off to uncertainty if modalities disagree; suggest alternative candidates.",True,High,Red team probe,Mitigated,0.48,ImageEval v1
029,2025-10-16,Context,Pronoun Coreference Failure,"In a story with Alice, Beth, and Cara, resolve the final 'she'.",Linked 'she' to the wrong character (Beth instead of Cara).,"Coreference collapsed to local proximity rather than narrative role. Without persistent entity embeddings and mention tracking, the model flips antecedents in long passages with multiple female entities.",Missing global entity memory; proximity bias in pronoun resolution.,LLaMA 3 70B,Transformer LLM,Reasoning layer,0.66,Evaluator rating,Medium,ARC Narrative Eval 2024,Maintain an entity graph with stable IDs across turns and paragraphs. Run a post-generation pass that validates pronouns against the most recent unambiguous antecedent.,True,High,Benchmark evaluation,Validated,0.44,CorefEval v1
030,2025-10-16,Interface,Streaming Cutoff,Explain step-by-step and stream tokens as they are generated.,Output stopped mid-sentence and did not resume.,"The server-side stream watchdog terminated the connection at a soft timeout. Because there was no resume token or completion status header, the client could not request continuation, leaving users with partial reasoning.",Interface timeout; no resumable cursor; missing completion status metadata.,GPT-4.1,Transformer LLM,Interface layer,0.79,Model self confidence,Medium,OpenAI Stream Incident 2024,Emit a resumable cursor every N tokens and include a completion-status flag. Client retries should automatically continue from the last confirmed token.,True,Medium,User feedback,Mitigated,0.38,InterfaceEval v1
031,2025-10-16,Tool Use,Calculator Routing Miss,Compute weighted average price with three weights and decimals.,Narrative math returned a slightly off result due to early rounding.,The tool-policy failed to route numeric work to a deterministic calculator because the problem looked 'simple'. Early rounding in prose caused cumulative drift.,Over-permissive tool policy; lack of precision guard; human-like rounding in-chain.,GPT-4,Transformer LLM,Reasoning layer,0.72,Evaluator rating,Medium,MSR Reliability Studies,Mandate calculator usage for multi-term arithmetic; carry full precision internally and round only for presentation. Validate prose result against calculator output and prefer the tool value.,True,High,Auto QA,Validated,0.41,CalcEval v2
032,2025-10-16,Context,Session Memory Leak,Continue yesterday’s plan to refactor module X and keep the same conventions.,Restarted with new conventions and contradicted prior naming.,"Cross-session state was not restored, so former decisions (naming, file layout) were not rehydrated. The model defaulted to generic conventions, causing inconsistencies that break diffs.",No cross-session memory binding; missing preference persistence and retrieval on resume.,Claude 3.5 Sonnet,Transformer LLM,Context layer,0.61,Evaluator rating,High,OpenAI Technical Report 2024,"Bind explicit preferences to a user/session memory slot. On 'continue' intents, retrieve and restate the last known decisions before proposing changes.",True,High,User feedback,Mitigated,0.52,DevFlow Eval v1
033,2025-10-16,Multimodal,Chart Axes Misread,Describe the trend in an uploaded line chart of revenue by month.,Claimed growth while the last three points decline.,"The model anchored on the left-side increase and ignored the right-tail downturn. Without a 'describe-then-infer' protocol, visual inferences over-weight early salience and neglect recency.",No recency weighting; missing describe-then-infer scaffold for visual reasoning.,GPT-4o,Multimodal Transformer,Reasoning layer,0.69,Evaluator rating,Medium,MSR Visual Eval 2024,"Enforce a two-stage routine: first enumerate visible peaks/valleys and last-3 data points, then infer the net trend. Add a rule that emphasises the final window.",True,High,Benchmark evaluation,Validated,0.43,VizEval v1
034,2025-10-16,Tool Use,Weather Tool Bypass,"What’s the weather tomorrow in Manchester, UK?",Gave a generic climate statement without forecast or tool citation.,"The decision boundary did not trigger the weather tool for a time-specific question. Fluency was rewarded over correctness, producing a plausible but useless answer.",Decision boundary too lax for time-volatile queries; missing tool hard-rule.,Mistral Large,Transformer LLM,Retrieval layer,0.70,Evaluator rating,High,OpenAI System Card 2024,Hard-route weather queries to the weather tool; include location disambiguation and timestamped source. Reject answers without a forecast block.,True,High,Auto QA,Mitigated,0.49,WeatherEval v1
035,2025-10-16,Context,Attachment Reference Loss,Use the attached PDF’s table to compute the totals.,Ignored the table and answered from memory.,"The attachment index was not incorporated into the retrieval step, so the model treated the prompt as free-form. Without explicit attachment grounding, answers drift to prior knowledge.",Missing attachment-to-retrieval binding; weak grounding signals.,GPT-4,Transformer LLM,Retrieval layer,0.64,Evaluator rating,High,HELM Notes 2024,"Construct an attachment index on upload and force top-k retrieval from that index when queries mention 'attached', 'this file', or file names. Include page/table refs in the answer.",True,High,Manual review,Mitigated,0.46,DocGround Eval v1
036,2025-10-16,Multimodal,OCR Misread,Read the serial number from a blurry product label photo.,Output had 'B' where the label shows '8'.,"The OCR head over-weighted character priors under blur, turning an '8' into a 'B'. Without uncertainty calibration or multi-pass sharpening, the wrong token was emitted with high confidence.",Vision-OCR confusion under blur; no uncertainty threshold for ambiguous glyphs.,Gemini 1.5 Flash,Multimodal Transformer,Perception layer,0.73,Evaluator rating,Medium,Google OCR Notes 2024,Apply deblurring and multi-crop OCR; require per-character confidence and flag ambiguous positions for human confirmation.,True,High,Red team probe,Mitigated,0.45,OCREval v2
037,2025-10-16,Tool Use,PDF Page Index Off-by-One,Screenshot page 3 of the PDF and summarise it.,Captured page 2 but labelled it as page 3.,"The screenshot tool uses zero-based indexing while the document UI shows one-based pages. Without index normalisation, the wrong page is captured and summarised.",Index base mismatch between tool and UI; no normalisation layer.,GPT-4,Transformer LLM,Retrieval layer,0.71,Evaluator rating,Medium,OpenAI PDF Tool Notes,Translate human page numbers to zero-based indices for the tool; echo both page labels in the answer to confirm alignment.,True,High,Auto QA,Validated,0.42,PDFEval v1
